Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2024-01-31-23:22:40,0.83,0.14,0.76,0.16,0.2,0.92,0.25,0.28,0.39,0.25,0.9,1.50758043299521
2024-01-31-23:22:41,0.36,0.6,0.18,0.43,0.37,0.28,0.82,0.21,0.1,0.55,0.88,1.40337778295601
2024-01-31-23:22:43,0.25,0.15,0.7,0.37,0.53,0.08,0.22,0.83,0.5,0.57,0.97,0.471004603439887
2024-01-31-23:22:44,0.27,0.26,0.69,0.71,0.51,0.49,0.1,0.28,0.39,0.98,0.88,1.05928557640573
2024-01-31-23:22:45,0.1,0.93,0.77,0.9,0.76,0.99,0.52,0.31,0.87,0.77,0.99,0.0590628414220565
2024-01-31-23:22:46,0.57,0.66,0.52,0.17,0.41,0.35,0.68,0.98,0.84,0.95,0.76,0.44093067912298
2024-01-31-23:22:47,0.05,0.66,0.28,0.54,0.28,0.08,0.93,0.78,0.97,0.55,0.72,-0.524138086754983
2024-01-31-23:22:48,0.74,0.45,0,0.25,0.97,0.83,0.12,0.27,0.82,0.21,0.93,1.31863902977277
2024-01-31-23:22:49,0.34,0.39,0.34,0.21,0.59,0.85,0.57,0.54,0.61,0.62,0.72,0.198757599558075
2024-01-31-23:22:50,0.41,0.16,0.52,0.5,0.62,0.82,0.99,0.17,0.54,0.73,0.15,0.65672649748376
2024-01-31-23:22:51,0.06,0.51,0.64,0.9,0.63,0.91,0.72,0.37,0.37,0.59,0.28,0.991681734917993
2024-01-31-23:22:52,0.71,0.8,0.87,0.56,0.9,0.41,0.7,0.52,0.65,0.11,0.69,1.8294002608637
2024-01-31-23:22:53,0.17,0.61,0.83,0.51,0.12,0,0.06,0.38,0.67,0.64,0.89,0.231098790539212
2024-01-31-23:22:54,0.32,0.54,0.04,0.75,0.79,0.41,0.12,0.38,0.69,0.36,0.7,0.556051179496042
2024-01-31-23:22:55,0.56,0.44,0.6,0.49,0.14,0.65,0.14,0.26,0.86,0.83,0.39,0.680975400531462
2024-01-31-23:22:56,0.69,0.35,0.52,0.21,0.93,0.9,0.89,0.09,0.31,0.73,0.64,2.14576879104465
2024-01-31-23:22:57,0.35,0.48,0.95,0.77,0.13,0.33,0.98,0.49,0.55,0.55,0.93,0.70348053752523
